firstName,lastName,email
 Javier, Rodriguez, javrod@gmail.com
 David, George, davidg@hotmail.com
 Eric, Dubbury, edubbury@gmail.com
 Abraham, Lincoln, abelinc@yahoo.com
 Teddy, Roosevelt, teddyR@gmail.com
 Claude, Gordon, clodgordon@gmail.com
 Davis, Adams, davisadams12@gmail.com
 Fred, Kuczmarski, fredkyahoo.com
 William, Sherman, willyTShe@gmail.com
 Ulysses, Grant, USGroxx@gmail.com
 Bill, Clinton, billyC@yahoo.com
 Seth,Macfarlane, sethmac@gmail.com
 Donald, Knuth, donk@yahoo.com
 Alan, Turing, turingmachine1@gmail.com
 Bill, Gates, windowsguy@gmail.com
 Steve, Jobs, appleguy@gmail.com
 Ryan, Gosling, imRyanGosling@gmail.com
 Tom, Hanks, otmshank@yahoo.com
 Ryan, Secrest, 
 Thomas, Morse, beepboop@yahoo.com
 Niel, Armstrong, lunarmodule@nasa.com
 George, Patton, thegeneral@gmail.com
 Michael, Jordan, mj@yahoo.com
 Lebron, James, lebronjameyjames@gmail.com
 Eric, Cartman, ericc@gmail.com
 Melissa, Nealy, mellisaN@yahoo.com
 Linda, Anderson, lindahanderson@gmail.com
 Amelia, Earheart, flygirlfly@gmail.com
 Grace, Hopper, computernerd@gmail.com
 Emily, Haines, emilyhaines@gmail.com
 Veronica, Muller, veronicam@yahoo.com
 Kerry, Parker, kerryparker@yahoo.com
 Sarah, Ocher, saraOcher@gmail.com
 Melinda, Gates, melindaG@gmail.com
 Eleanor, Roosevelt, eroosevelt@gmail.com
 Margaret, Thatcher, ironlade@yahoo.com
 Natalie, Portman, natalietheactress@gmail.com
 Kelly, Stevens, kellys@yahoo.com
 Rebecca, Herivel, rebeccah@gmail.com
 Christine, James, ChristineJ@yahoo.com
